Title,Video ID,Duration,Views,Published At,duration_readable,duration_min,duration_minutes,months_since_release,views_por_mes
integral de superfície escalar (exemplos),vy-fTjjA180,PT25M26S,1007,2020-11-19 01:31:08+00:00,25:26,25.433333333333334,0,59,17
Integral de superfície escalar,g90BbWg1C0I,PT24M8S,354,2020-11-17 21:56:06+00:00,24:08,24.133333333333333,0,59,6
Superfícies de revolução,LF2QAYNz3EI,PT19M19S,1081,2020-11-14 16:34:42+00:00,19:19,19.316666666666663,0,59,18
Superfície tubular,uvgGeBLWgMc,PT31M27S,321,2020-11-14 13:07:53+00:00,31:27,31.45,0,59,5
Superfícies paramétricas (parte II),orEy8MFG4Vo,PT9M5S,579,2020-11-12 22:06:13+00:00,9:05,9.083333333333334,0,59,10
Superfícies paramétricas,NSJGewylcl4,PT35M16S,905,2020-11-12 19:52:07+00:00,35:16,35.266666666666666,0,59,15
Teorema de Green em regiões com buracos: exemplos,vii7PReuE90,PT24M38S,1368,2020-10-28 22:26:55+00:00,24:38,24.633333333333333,0,60,23
Teorema de Green (versão com buracos ),QdxslorDeUk,PT16M30S,623,2020-10-28 19:30:15+00:00,16:30,16.5,0,60,10
Teorema de Green,7OFFXUa5brs,PT32M36S,307,2020-10-28 02:30:40+00:00,32:36,32.6,0,60,5
Campos conservativos: independência de caminho e rotacional,zf7Q2jFB_W0,PT33M44S,350,2020-10-23 18:20:22+00:00,33:44,33.733333333333334,0,60,6
Teorema fundamental das integrais de linha,DLtrDwM7pP4,PT30M9S,484,2020-10-22 16:00:55+00:00,30:09,30.15,0,60,8
Integrais de linha (relativa ao comprimento de arco),9w5cvVPJ_2k,PT21M58S,688,2020-10-20 09:57:43+00:00,21:58,21.966666666666665,0,60,11
Movimentos no espaço: velocidade e aceleração,W-SAI3p7sTU,PT12M34S,299,2020-10-16 12:14:20+00:00,12:34,12.566666666666666,0,60,5
Componentes da aceleração,_JAIwxRldzU,PT17M53S,452,2020-10-14 21:13:27+00:00,17:53,17.883333333333333,0,60,8
Movimento de projétil com resistência do ar,ISXU0gy7B2g,PT35M42S,2226,2020-10-14 13:26:10+00:00,35:42,35.7,0,60,37
"Resumo - curvatura, vetor tangente, normal e binormal",oivTOmX0J1Y,PT3M28S,1818,2020-10-13 18:28:32+00:00,3:28,3.466666666666667,0,60,30
Vetor normal e binormal,hrExZA53k3E,PT13M31S,533,2020-10-13 18:26:46+00:00,13:31,13.516666666666667,0,60,9
Curvatura,-GnHeao4ONo,PT14M51S,331,2020-10-09 13:46:59+00:00,14:51,14.85,0,60,6
Função comprimento de arco,E00LrE_I29w,PT14M,332,2020-10-08 17:18:48+00:00,14:00,14.0,0,60,6
Comprimento de arco,BXzE3mJa3b8,PT9M52S,348,2020-10-07 12:06:48+00:00,9:52,9.866666666666667,0,60,6
